id,Name,PS Intelligence,PS Strength,PS Speed,PS Durability,PS Power,PS Combat,Overall PS,Gender,Race,Height,Weight,Full Name,First Appearance,Publisher,Alignment,Occupation,Base,Affiliation,Image,Year
387,Killer Frost,88,10,13,35,59,30,235,Female,Human,Unknown,Unknown,Caitlin Snow,Fury Of Firestorm: The Nuclear Men #19,Dc Comics,😈,Scientist,Pittsburgh,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/387-killer-frost.jpg,
388,Kilowog,81,90,53,42,100,80,446,Male,Bolovaxian,234 Cm,324 Kg,,"Green Lantern Corps #201 (june, 1986)",Dc Comics,😇,-,"Oa, Formerly Earth, Bolovax Vik","Green Lantern Corps; Formerly New Guardians, Justice League International",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/388-kilowog.jpg,1986.0
389,King Kong,56,100,71,75,47,75,424,Male,Animal,30.5 Meters,"9,000 Tons",King Kong,King Kong (1933),Unknown,😇,-,Skull Island,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/389-king-kong.jpg,1933.0
390,King Shark,50,88,50,90,86,40,404,Male,Animal,Unknown,Unknown,Nanaue,Superboy Vol 4 #0,Dc Comics,😈,Professional Criminal,"Honolulu, Hawaii",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/390-king-shark.jpg,
391,Kingpin,75,18,25,40,13,70,241,Male,Human,201 Cm,203 Kg,Wilson Grant Fisk,"Amazing Spider-man #50 (july, 1967)",Marvel Comics,😈,"Criminal Organizer And Mastermind, President And Owner Of Legitimate Businesses","A Penthouse In New York City; Formerly Fisk Tower In New York City, A Mansion In Westchester County, Las Vegas.","Leader Of The Hand, Leader Of A Coalition Of East Coast Non-maggia Criminal Organizations; Former Director Of Las Vegas Hydra Faction.",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/391-kingpin.jpg,1967.0
392,Klaw,63,38,33,100,62,60,356,Male,Human,188 Cm,97 Kg,Ulysses Klaw,"Fantastic Four #53 (august, 1966)",Marvel Comics,😈,"Criminal, Former Scientist",-,"Former Member Of The Masters Of Evil, Fearsome Foursome, And Frightful Four; Former Ally Of Solarr, Molecule Man, And Doctor Doom",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/392-klaw.jpg,1966.0
393,Kool-aid Man,25,18,8,10,9,14,84,Male,Unknown,Unknown,Unknown,,As Pitcher-man In 1954,Unknown,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/393-kool-aid-man.jpg,1954.0
394,Kraven Ii,50,34,23,28,43,85,263,Male,Human,191 Cm,99 Kg,Alyosha Kravinoff,Spectacular Spider-man #243 (1997),Marvel Comics,😈,-,-,Formerly The Sinister Six,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/394-kraven-ii.jpg,1997.0
395,Kraven The Hunter,63,32,35,42,25,85,282,Male,Human,183 Cm,106 Kg,Sergei Kravinoff,The Amazing Spider-man #15 (1964),Marvel Comics,😈,"Professional Game Hunter, Mercenary",-,(formerly) The Sinister Six,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/395-kraven-the-hunter.jpg,1964.0
396,Krypto,9,80,100,90,82,40,401,Male,Kryptonian,64 Cm,18 Kg,Krypto The Superdog,"Adventure Comics #210 (march, 1955)",Dc Comics,😇,-,"Smallville, Kansas",Superman,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/396-krypto.jpg,1955.0
397,Kyle Rayner,69,90,50,60,100,60,429,Male,Human,180 Cm,79 Kg,Kyle Rayner,Green Lantern Vol 3 #48,Dc Comics,😇,"Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, Formerly Challengers From Beyond, Sinestro Corps, Justice League Of America, Blue Lantern Corps, Titans",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/397-kyle-rayner.jpg,
398,Kylo Ren,56,44,33,30,100,70,333,Male,Human,Unknown,Unknown,Ben Solo,Star Wars: Episode Vii - The Force Awakens (2015),George Lucas,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/398-kylo-ren.jpg,2015.0
400,Lady Deathstrike,63,28,42,85,48,90,356,Female,Cyborg,175 Cm,58 Kg,Yuriko Oyama,Alpha Flight Vol. 1 #33 (1985),Marvel Comics,😈,-,-,"Ally Of Reverend William Stryker, Former Employee Of Sabretooth, Formerly Reavers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/400-lady-deathstrike.jpg,1985.0
401,Leader,100,10,12,14,59,42,237,Male,Unknown,178 Cm,63 Kg,Samuel Sterns,-,Marvel Comics,😈,-,-,Leader Of Freehold,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/401-leader.jpg,
402,Leech,25,5,12,14,62,14,132,Male,Unknown,Unknown,Unknown,,Uncanny X-men #179,Marvel Comics,😇,"Survivor, Former Student",-,"198; Formerly Generation X, Daydreamers, Morlocks, X-factor (trainee)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/402-leech.jpg,
403,Legion,50,100,42,30,100,75,397,Male,Mutant,175 Cm,59 Kg,David Haller,"New Mutants #25 (march, 1985)",Marvel Comics,😇,"Adventurer, Student","Formerly Ruth Aldine's Mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""no-time""; Moira Mactaggart's Mutant Research Center, Muir Island, Off The Coast Of Scotland; Haifa; Paris, France","Formerly X-men, Muir Island X-men",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/403-legion.jpg,1985.0
404,Leonardo,75,16,50,65,59,80,345,Male,Mutant,Unknown,Unknown,Leonardo,Teenage Mutant Ninja Turtles #1,Idw Publishing,😇,Ninja,"New York, New York",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/404-leonardo.jpg,
405,Lex Luthor,100,53,25,65,68,70,381,Male,Human,188 Cm,95 Kg,Lex Luthor,Action Comics #23,Dc Comics,😈,Owner Of Lexcorp,-,"Injustice Gang, Injustice League, Society Of Supervillains",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/405-lex-luthor.jpg,
406,Light Lass,38,10,35,28,67,42,220,Female,Unknown,165 Cm,54 Kg,Ayla Ranzz,Teen Titans/legion Special #1,Dc Comics,😇,-,United Planets,"Legion Of Super-heroes, Formerly The Wanderers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/406-light-lass.jpg,
407,Lightning Lad,38,10,23,28,60,42,201,Male,Unknown,155 Cm,65 Kg,Garth Ranzz,Teen Titans/legion Special #1,Dc Comics,😇,Legionnaire,"Earth, 31st Century",Legion Of Super-heroes,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/407-lightning-lad.jpg,
408,Lightning Lord,44,10,23,42,66,42,227,Male,Unknown,191 Cm,95 Kg,Mekt Ranzz,Supergirl And The Legion Of Super-heroes #25 (feb. 2007),Dc Comics,😈,-,-,"The Wanderers, Former Ally Of The Legion Of Super-heroes.",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/408-lightning-lord.jpg,2007.0
409,Living Brain,75,53,35,56,31,28,278,-,Unknown,198 Cm,360 Kg,,Amazing Spider-man #8 (1964),Marvel Comics,😈,Robot,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/409-living-brain.jpg,1964.0
410,Living Tribunal,100,100,100,100,100,30,530,-,Cosmic Entity,Unknown,Unknown,,Strange Tales #157,Marvel Comics,😐,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/410-living-tribunal.jpg,
412,Lizard,50,51,27,70,63,56,317,Male,Human,203 Cm,230 Kg,Curtis Connors,Amazing Spider-man #6,Marvel Comics,😈,Research Biologist,Florida,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/412-lizard.jpg,
413,Lobo,94,100,54,100,100,85,533,Male,Czarnian,229 Cm,288 Kg,Lobo,Omega Men # 3,Dc Comics,😐,"Assassin, Bounty Hunter, Priest",Mobile Throughout Several Galaxies,"Formerly Legion, Young Justice; First Celestial Church Of The Triple Fish-god",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/413-lobo.jpg,
414,Loki,88,63,46,85,100,60,442,Male,Asgardian,193 Cm,236 Kg,Loki Laufeyson,Journey Into Mystery Vol. 1 #85,Marvel Comics,😈,God Of Evil; Former God Of Mischief And Madness,Asgard,"Asgardians, Karnilla, Enchantress, Skurge The Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""acts Of Vengeance"" Prime Movers (dr. Doom, Magneto, Red Skull, Mandari",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/414-loki.jpg,
415,Longshot,50,10,27,10,71,70,238,Male,Human,188 Cm,36 Kg,,"Longshot #1 (september, 1985)",Marvel Comics,😇,"Freedom Fighter, Stuntman Rebel, Adventurer","X-factor Investigations Headquarters, New York City, New York; Formerly Detroit, Michigan; Mobile; Xavier's School For Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I",X-factor Investigations; Rebel Forces On His Homeworld; Formerly Exiles; X-men,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/415-longshot.jpg,1985.0
416,Luke Cage,50,63,29,95,44,70,351,Male,Human,198 Cm,191 Kg,Luke Cage,Hero For Hire #1 (1972),Power Man,😇,"Adventurer, Bar Owner, Bodyguard, Mercenary; Formerly Theater Owner, Private Investigator, Various Odd Jobs",-,"Underground Avengers (formerly Daredevil's Unnamed Super-hero Team), Secret Defenders, Heroes For Hire, Nightwing Restorations, Fantastic Four, Defenders, Bloods",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/416-luke-cage.jpg,1972.0
418,Luke Skywalker,69,38,42,25,100,100,374,Male,Human,168 Cm,77 Kg,Luke Skywalker,Star Wars: Episode Iv - A New Hope (1977),George Lucas,😇,-,-,"Alliance To Restore The Republic, Jedi Order, Alliance Of Free Planets, Bright Tree Village, New Republic, New Jedi Order",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/418-luke-skywalker.jpg,1977.0
419,Luna,38,6,83,14,53,14,208,Female,Human,Unknown,Unknown,Luna Maximoff,-,Marvel Comics,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/419-luna.jpg,
421,Mach-iv,75,36,60,84,60,56,371,Male,Unknown,180 Cm,79 Kg,Abner Jenkins,(beetle) Strange Tales #123 (1964); (mach-i) Incredible Hulk #449 (1997); (mach-ii) Thunderbolts #37 (2000); (mach-iii) Thunderbolts #57 (2001); (mach-iv) New Thunderbolts #1 (2005),Marvel Comics,😈,"Adventurer; Former Master Mechanic, Professional Criminal, Mercenary",-,"Formerly Thunderbolts, Masters Of Evil, Sinister Syndicate, Justin Hammer's Hit Squad, Maggia, Sinister Seven, Commission On Superhuman Activities, Defenders Impersonators, Burton Canyon Police Department",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/421-mach-iv.jpg,1964.0
422,Machine Man,63,32,35,84,51,64,329,-,Unknown,183 Cm,383 Kg,"X-51, Aaron Stack",First Appearance Unknown,Marvel Comics,😇,Insurance Investigator,"Garvin's Garage, Queens, New York",Avengers,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/422-machine-man.jpg,
423,Magneto,88,80,27,84,91,80,450,Male,Mutant,188 Cm,86 Kg,Erik Magnus Lensherr,X-men Vol. 1 #1,Marvel Comics,😈,"Currently Revolutionary And Conqueror, Formerly Volunteer Orderly, Secret Agent","Currently Unrevealed, Formerly Asteroid M; Various Hidden Bases On Earth Including One In Antarctica; An Island In The Bermuda Triangle; Professor Xavier's School For Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, Formerly Brotherhood Of Evil Mutants I And Ii, X-men, Teacher Of The New Mutants, Lords Cardinal Of The Hellfire Club, Leader Of The Acolytes",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/423-magneto.jpg,
424,Magog,50,48,23,64,66,72,323,Male,Unknown,Unknown,Unknown,David Reid,-,Dc Comics,😇,-,-,"Formerly Justice Society Of America, Formerally United States Marine Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/424-magog.jpg,
425,Magus,88,100,70,99,100,74,531,Male,Unknown,183 Cm,Unknown,,New Mutants #18 (1984),Marvel Comics,😈,Ruler Of The Technarchy,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/425-magus.jpg,1984.0
426,Man Of Miracles,100,100,100,100,100,100,600,-,God / Eternal,Unknown,Unknown,,Spawn #75,Image Comics,😐,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/426-man-of-miracles.jpg,
427,Man-bat,38,18,50,70,33,30,239,Male,Human,Unknown,Unknown,Robert Kirkland Langstrom,"Detective Comics #400 (june, 1970)",Dc Comics,😐,Zoologist,Gotham City,"Formerly Spirit Squad, The Network",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/427-man-bat.jpg,1970.0
428,Man-thing,50,32,8,100,100,40,330,Male,Unknown,213 Cm,225 Kg,Dr. Theodore Sallis,"Savage Tales #1 (may, 1971)",Marvel Comics,😇,-,"Man-thing's Swamp, Citrusville, Florida","Thunderbolts, Legion Of Monsters, Daydreamers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/428-man-thing.jpg,1971.0
429,Man-wolf,63,44,35,42,45,70,299,Male,Unknown,188 Cm,90 Kg,John Jameson,"Amazing Spider-man #1, (as Man-wolf) Amazing Spider-man #124",Marvel Comics,😇,"Employed By Dept. Of Social Services, Queens; Former Astronaut, Test Pilot, Security Chief For Ravenscroft Institute",Queens,"Ravencroft Insitute Staff, Avengers Support Crew, Nasa, Usaf",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/429-man-wolf.jpg,
430,Mandarin,100,28,23,28,100,95,374,Male,Human,188 Cm,97 Kg,Khan,"Tales Of Suspense #50 (february, 1964)",Marvel Comics,😈,"Would-be Conqueror; Former Janitor, Businessman And Crimelord, Government Administrator",Prometheus Corporation; Formerly Dragon Of Heaven; Palace Of The Star Dragon In The Valley Of Spirits.,"Current Ceo Of Prometheus Corporation; Has Employed The Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, And Ladykiller.",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/430-mandarin.jpg,1964.0
431,Mantis,63,8,33,80,100,80,364,Female,Human-kree,168 Cm,52 Kg,,Avengers #112,Marvel Comics,😇,"Celestial Madonna, Former Adventuress, Former Bar-maid/prostitute/exotic Dancer",Mobile,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/431-mantis.jpg,
432,Martian Manhunter,100,95,92,100,100,85,572,Male,Martian,201 Cm,135 Kg,J'onn J'onzz,Detective Comics #225 (1955),Dc Comics,😇,-,-,"Darkstars, Justice League Of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/432-martian-manhunter.jpg,1955.0
433,Marvel Girl,63,85,47,42,100,80,417,Female,Unknown,170 Cm,56 Kg,Rachel Anne Summers,Uncanny X-men #141,Marvel Comics,😇,Adventurer,"Xavier Institute Of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, Formerly X-men, Former Servant Of Elias Bogan, Formerly Clan Askani (leader), Excalibur, Former Servant Of Ahab",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/433-marvel-girl.jpg,
435,Master Chief,75,73,35,80,69,100,432,Male,Human / Altered,213 Cm,Unknown,John-117,-,Microsoft,😇,Master Chief Petty Officer Of The Navy,-,"United Nations Space Command, Navy",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/435-master-chief.jpg,
436,Match,75,95,83,85,100,70,508,Male,Unknown,Unknown,Unknown,Kent Connor,"Superboy Vol 4 #35 (january, 1997)",Dc Comics,😈,-,-,"Titans East, The Agenda, Project Cadmus",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/436-match.jpg,1997.0
437,Matt Parkman,63,10,12,14,59,56,214,Male,Unknown,Unknown,Unknown,Matthew Parkman,Heroes S01e02 - Don't Look Back,Nbc - Heroes,😇,Nypd Detective,"New York, Ny; Formerly Los Angeles, Ca",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/437-matt-parkman.jpg,
438,Maverick,63,10,12,42,60,85,272,Male,Unknown,193 Cm,110 Kg,Christopher Bradley,X-men Unlimited #8 (1995),Marvel Comics,😇,"Mercenary; Former Adventurer, Student",-,"(as Maverick) Formerly Gene Nation, Cable?s Underground; (as Bolt) Formerly New Warriors",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/438-maverick.jpg,1995.0
439,Maxima,75,90,35,56,81,75,412,Female,Unknown,180 Cm,72 Kg,,-,Dc Comics,😈,"Adventurer, Queen Of The Almerac Empire",Imperial Royal Palace,"Justice League Task Force, Extreme Justice",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/439-maxima.jpg,
440,Maya Herrera,50,10,12,14,60,14,160,Female,Unknown,Unknown,Unknown,Maya Herrera,-,Nbc - Heroes,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/440-maya-herrera.jpg,
441,Medusa,75,34,35,70,37,56,307,Female,Inhuman,180 Cm,59 Kg,Medusalith Amaquelin Boltagon,Fantastic Four Vol. 1 #36 (1965),Marvel Comics,😇,"Queen, Royal Interpreter",Attilan,"Inhumans, Fantastic Four",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/441-medusa.jpg,1965.0
442,Meltdown,38,10,12,42,62,64,228,Female,Unknown,165 Cm,54 Kg,Tabitha Smith,-,Boom-boom,😇,"Adventurer, Former Student, Thief",-,"Formerly Nextwave, X-force, Genoshan Mutates, New Mutants, X-terminators, X-factor (trainee), Fallen Angels",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/442-meltdown.jpg,
443,Mephisto,88,85,35,95,100,42,445,Male,Unknown,198 Cm,140 Kg,,-,Marvel Comics,😈,Lord Of A Realm Of Hell,-,"Hell-lords, Lords Of The Splinter Realms; Formerly Manipulator Of The Six-fingered Hand",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/443-mephisto.jpg,
444,Mera,56,62,79,60,92,80,429,Female,Atlantean,175 Cm,72 Kg,Mera,"Aquaman #11 (october, 1963)",Dc Comics,😇,Former Queen Of Atlantis; Former Queen Of Dimension Aqua,Atlantis,Aquaman Family; Formerly Red Lantern Corps,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/444-mera.jpg,1963.0
445,Metallo,75,53,23,95,86,64,396,Male,Android,196 Cm,90 Kg,John Corben,"Superman Vol 2 #1 (january, 1987)",Dc Comics,😈,Professional Criminal,"Mobile, Though He Generally Operates Out Of Metropolis",Superman Revenge Squad,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/445-metallo.jpg,1987.0
448,Metron,88,10,47,56,100,28,329,Male,Unknown,185 Cm,86 Kg,Metron,"New Gods Vol. 1 #1 (february-march, 1971)",Dc Comics,😇,"Scientist, Seeker Of Knowledge","Supertown, New Genesis",New Gods,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/448-metron.jpg,1971.0
449,Micah Sanders,63,8,12,14,57,14,168,Male,Unknown,Unknown,Unknown,Micah Sanders,-,Nbc - Heroes,😇,Elementary School Student,"New Orleans, La",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/449-micah-sanders.jpg,
450,Michelangelo,63,14,50,65,59,75,326,Male,Mutant,Unknown,Unknown,,-,Idw Publishing,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/450-michelangelo.jpg,
451,Micro Lad,38,28,27,28,44,32,197,Male,Unknown,183 Cm,77 Kg,Gim Allon,Teen Titans/legion Special #1 (2004),Dc Comics,😇,-,"United Planets, 31st Century",Legion Of Super-heroes,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/451-micro-lad.jpg,2004.0
452,Mimic,63,67,47,56,79,42,354,Male,Unknown,188 Cm,101 Kg,Calvin Montgomery Rankin,Uncanny X-men #19,Marvel Comics,😇,-,-,"Formerly Brotherhood Of Mutants, Excalibur, X-men, Former Agent Of Onslaught And Sledge",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/452-mimic.jpg,
454,Misfit,63,32,23,80,91,42,331,Female,Unknown,Unknown,Unknown,Charlotte Gage-radcliffe,Birds Of Prey #96,Batgirl V,😇,-,"Dalten Towers, Metropolis",Birds Of Prey,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/454-misfit.jpg,
455,Miss Martian,63,85,58,100,100,45,451,Female,Unknown,178 Cm,61 Kg,M'gann M'orzz,"Teen Titans Vol 3 #37 (august, 2006)",Dc Comics,😇,Adventurer,"Arizona; San Francisco, California; Formerly The Tanami Desert, Australia",Teen Titans,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/455-miss-martian.jpg,2006.0
456,Mister Fantastic,100,10,18,70,33,64,295,Male,Human / Radiation,185 Cm,81 Kg,Reed Richards,Fantastic Four #1,Marvel Comics,😇,"Scientist, Adventurer",New York City,Fantastic Four,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/456-mister-fantastic.jpg,
457,Mister Freeze,75,32,12,70,37,28,254,Male,Human,183 Cm,86 Kg,Victor Fries,Batman #121 (feb. 1959),Dc Comics,😈,-,-,"Assorted Batman Rogues, The Society",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/457-mister-freeze.jpg,1959.0
458,Mister Knife,75,10,17,30,13,65,210,Male,Spartoi,Unknown,Unknown,J'son,"Inhumans Vol 3 #2 (july, 2000)",Marvel Comics,😈,"Crimelord; Former Emperor, Prince","Formerly Spartax, Spartoi Empire, Near The Shi'ar Galaxy","Slaughter Lords (leader); Formerly Galactic Council, Ruler Of The Spartoi Empire",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/458-mister-knife.jpg,2000.0
459,Mister Mxyzptlk,100,85,100,100,100,50,535,Male,God / Eternal,Unknown,Unknown,Mr. Mxyzptlk,Superman #30,Dc Comics,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/459-mister-mxyzptlk.jpg,
460,Mister Sinister,100,48,46,90,100,50,434,Male,Human / Altered,196 Cm,128 Kg,Nathaniel Essex,"Uncanny X-men #221 (september, 1987)",Marvel Comics,😈,"Geneticist, Criminal, Biologist And Mutant-supremacist",Many Bases Throughout The World Including His State Home For Foundlings And The Center For Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); Formerly Weapon X, Third Reich",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/460-mister-sinister.jpg,1987.0
461,Mister Zsasz,88,22,33,28,18,85,274,Male,Human,Unknown,Unknown,Victor Zsasz,-,Dc Comics,😈,Serial Killer,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/no-portrait.jpg,
462,Mockingbird,75,31,38,20,48,95,307,Female,Human,175 Cm,61 Kg,Barbara Morse,"Astonishing Tales #6 (june, 1971)",Marvel Comics,😇,"Adventurer; Former Counter-terrorist Agent, Private Investigator, Government Operative, S.h.i.e.l.d. Agent, Biologist","New York City, New York","World Counterterrorism Agency; Formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.h.i.e.l.d.; Partner Of Hawkeye; Associate Of Dr. Wilma Calvin",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/462-mockingbird.jpg,1971.0
463,Modok,100,18,25,25,79,15,262,Male,Cyborg,366 Cm,338 Kg,George Tarleton,Tales Of Suspense #93,Marvel Comics,😈,"Would-be Conqueror, Aim Leader, Terrorist; Former Aim Agent, Technician",-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/463-modok.jpg,
467,Molten Man,50,73,23,84,53,56,339,Male,Unknown,196 Cm,248 Kg,Mark Raxton,Amazing Spider-man #28 (1965),Marvel Comics,😈,"Security Guard For Osborn Industries, Former Criminal, Lab Assistant",-,Exterminators,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/467-molten-man.jpg,1965.0
469,Monica Dawson,50,10,35,14,48,90,247,Female,Unknown,Unknown,Unknown,Monica Dawson,Heroes S02e04 - The Kindness Of Strangers,Nbc - Heroes,😇,Fast Food Service,"New Orleans, La",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/469-monica-dawson.jpg,
470,Moon Knight,50,36,23,42,28,75,254,Male,Human,188 Cm,101 Kg,Marc Spector,"Werewolf By Night #32 (august, 1975)",Marvel Comics,😇,"Adventurer, Entrepreneur; Former Prize Fighter, Spy, Soldier, Mercenary, Cab Driver","New York City; Formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; Formerly: Us Marine Corps, Central Intelligence Agency (cia), Partner Of Jean-paul Du Champ, Partner Of Raoul Bushman, Partner Of Midnight, West Coast Avengers, Marvel Knights, Defenders",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/470-moon-knight.jpg,1975.0
471,Moonstone,56,67,47,52,74,80,376,Female,Unknown,180 Cm,59 Kg,Karla Sofen,"Captain America Vol. 1 #192 (december, 1975)",Marvel Comics,😈,"Former Adventurer, Psychiatrist",Formerly Mount Charteris; Four Freedoms Plaza,"Dark Avengers, Formerly; Thunderbolts, Femizons, Masters Of Evil, Doctor Faustus, The Corporation, Former Partner Of Blackout (marcus Daniels)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/471-moonstone.jpg,1975.0
472,Morlun,63,60,35,42,74,56,330,Male,Unknown,188 Cm,79 Kg,Morlun,Amazing Spider-man #30 (2001),Marvel Comics,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/472-morlun.jpg,2001.0
